Designator,Footprint,Quantity,Value,LCSC Part #,Customer Supply
,,1,,,
BATT3,BAT-TH_2479,1,BAT-TH_2479,,
"BT1, BT2",BAT-TH_2P-L53.0-W24.6-P12.70_2468,2,BAT-TH_2P-L53.0-W24.6-P12.70_2468,,
C1,0402,1,.1uF,,
C2,CP_Elec_4x4.5,1,10uF,,
"J1, J2",PinHeader_1x01_P2.00mm_Vertical,2,Conn_01x01_Pin,,
"J3, J4",PinSocket_1x28_P2.54mm_Vertical,2,Conn_01x28_Socket,,
R1,0402,1,680k,,
"R10, R11",0402,2,1000,,
R2,0402,1,220k,,
R3,0402,1,100k,,
"R4, R5, R6, R7, R8, R9",0402,6,10k,,
"SW1, SW3",SW-TH_EC11E18244A5,2,~,,
SW2,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,1,BUTTON_MODE,,
SW4,SW-TH_4P-L6.0-W6.0-P4.50-LS6.5,1,BUTTON_CAPTURE,,
U1,SOP-14_L8.6-W3.9-P1.27-LS6.0-BL,1,TL084,,
U2,LCD_MSP2202_without_sd,1,LCD_MSP2202_without_sd,,DNP
U_SWITCH,SW-TH_SSSS222700,1,SW-TH_SSSS222700,,
