Designator,Mid X,Mid Y,Rotation,Layer
,-55.544,-3.407,0.0,top
BATT3,-1.6515,-43.692,180.0,bottom
BT1,5.326,-12.067,0.0,top
BT2,2.956,-12.067,180.0,bottom
C1,24.496,-17.497,180.0,top
C2,23.846,-13.357,90.0,top
J1,13.986,-2.545375,0.0,top
J2,14.016,-6.6184,0.0,top
J3,9.932,-38.537,0.0,bottom
J4,27.6612,-38.5716,0.0,bottom
R1,14.496,-0.455375,0.0,top
R10,19.146,-15.537,90.0,top
R11,15.196,-16.547,180.0,top
R2,16.076,-0.965375,270.0,top
R3,16.076,-2.945375,270.0,top
R4,25.286,-7.537,270.0,top
R5,25.286,-4.997,270.0,top
R6,16.306,-5.427,270.0,top
R7,19.816,-9.267,180.0,top
R8,21.726,-9.267,180.0,top
R9,16.326,-7.287,270.0,top
SW1,19.136,-34.317,180.0,top
SW2,15.206,-12.787,90.0,top
SW3,19.056,-51.367,180.0,top
SW4,15.226,-21.537,90.0,top
U1,20.81,-4.237,180.0,top
U2,-25.481,-50.023,180.0,top
U_SWITCH,-0.228,-27.2168,0.0,top
