Designator,Mid X,Mid Y,Rotation,Layer
C1,9.22,48.322,180.0,top
C10,10.776,53.8,90.0,bottom
C11,10.668,59.182,0.0,bottom
C12,5.781,75.603,270.0,top
C13,4.191,75.184,270.0,top
C14,9.72,53.822,90.0,bottom
C15,8.001,53.34,180.0,bottom
C16,7.72,58.822,270.0,bottom
C17,13.208,60.072,0.0,bottom
C18,13.208,54.102,90.0,bottom
C19,8.128,74.672,0.0,bottom
C2,11.47,48.322,0.0,top
C20,13.210423,59.056,0.0,bottom
C21,8.001,54.356,180.0,bottom
C22,5.842,39.596,90.0,top
C23,14.732,33.27,270.0,top
C24,11.458,4.826,0.0,top
C25,13.462,4.826,180.0,top
C26,4.31574,2.479,270.0,bottom
C27,18.288,14.859,0.0,bottom
C28,11.507708,13.063825,0.0,bottom
C29,16.847594,16.268341,90.0,top
C3,8.128,73.227522,0.0,bottom
C30,14.986,8.491825,180.0,bottom
C31,15.837499,16.261375,90.0,top
C32,18.288,16.51,0.0,bottom
C33,10.870448,11.285825,90.0,bottom
C34,18.288,16.764,180.0,top
C35,15.442448,11.285825,90.0,bottom
C36,13.716,16.51,90.0,bottom
C37,12.7,16.51,90.0,bottom
C38,8.89,16.002,90.0,top
C39,18.316,14.732,180.0,top
C4,2.413,97.405,0.0,top
C40,18.316,15.748,180.0,top
C41,9.906,16.002,90.0,top
C42,6.62974,4.318,0.0,bottom
C5,13.208,62.992,0.0,top
C6,13.208,64.008,0.0,top
C7,5.08,78.778,0.0,top
C8,13.208,57.15,0.0,bottom
C9,15.494,63.496,270.0,top
CR1,5.821101,90.237505,0.0,top
CR2,4.514529,7.191818,90.0,top
D1,2.02974,21.082,0.0,top
D2,15.405561,1.525627,90.0,top
D3,16.862475,1.524,90.0,top
D4,3.822243,1.34143,90.0,top
D5,4.838243,1.34143,90.0,top
J1,10.158,95.137,180.0,top
J2,1.27,58.924,0.0,bottom
J3,19.05,5.588,0.0,bottom
J4,19.05,58.928,0.0,bottom
J5,2.789,14.589,270.0,top
J6,10.155641,23.114,90.0,top
J7,1.26774,4.318,0.0,bottom
L1,13.208,65.913,0.0,top
PD1,16.51,96.786894,270.0,top
PD2,18.669,96.774,270.0,top
R1,12.065,94.871,90.0,bottom
R10,11.176,65.153,270.0,top
R11,6.35,31.496,270.0,top
R12,5.97,43.072,270.0,top
R13,8.89,31.496,270.0,top
R14,14.478,37.338,270.0,top
R15,11.43,31.496,270.0,top
R16,13.716,31.496,270.0,top
R17,19.05,12.573,270.0,top
R18,1.52174,17.399,0.0,bottom
R19,2.286,11.938,0.0,bottom
R2,8.382,94.869,90.0,bottom
R20,13.208,5.842,0.0,top
R21,13.824275,16.275308,270.0,top
R22,14.840275,16.275308,270.0,top
R23,4.06174,21.082,180.0,top
R24,1.524,8.636,180.0,top
R25,1.52174,13.97,0.0,bottom
R26,1.524,15.494,0.0,bottom
R27,15.999776,5.969,180.0,bottom
R28,16.002,4.940112,180.0,bottom
R29,11.68174,1.016,180.0,bottom
R3,11.176,49.784,270.0,top
R30,15.395112,3.44829,270.0,top
R31,16.86334,3.426394,270.0,top
R32,3.80774,3.302,270.0,top
R33,4.82374,3.304,270.0,top
R34,4.826,34.29,90.0,top
R35,16.764,32.766,90.0,bottom
R4,14.605,85.34,270.0,bottom
R5,15.495412,65.391117,270.0,top
R6,16.22,93.468,90.0,bottom
R7,5.207,80.518,180.0,top
R8,16.256,90.928,90.0,bottom
R9,10.033,65.151,270.0,top
SW1,7.239,84.747,270.0,top
SW2,12.954,84.747,270.0,top
SW3,10.118,40.89,0.0,top
SW4,10.16,35.302,0.0,top
U1,8.509,70.866,270.0,top
U10,9.652,18.542,0.0,top
U2,11.303,77.381,0.0,top
U3,10.287,56.765,0.0,top
U4,17.272,20.828,0.0,top
U5,7.87174,2.352,180.0,top
U6,13.156448,10.777825,0.0,top
U7,7.224001,6.8834,270.0,top
U8,9.029739,2.3114,90.0,bottom
U9,10.1305,96.012,90.0,bottom
UD1,6.35,28.056277,90.0,top
UD2,8.89,28.067,90.0,top
UD3,11.43,28.04828,90.0,top
UD4,13.716,28.04828,90.0,top
Y1,10.22,46.072,0.0,top
Y2,12.446,2.325,0.0,top
